date,equity,cash,position_value,open_positions,exposure,turnover_cash,regime,daily_return
2022-05-13,1077776.87500918,468184.5447892487,609592.3302199312,2,0.5656016048913083,38090084.32564016,bear,-0.004206995742563113
2022-05-16,1092248.065179442,468184.5447892487,624063.5203901932,2,0.5713569474601612,38090084.32564016,bear,0.01342688872419795
2022-05-17,1073620.9522108682,468184.5447892487,605436.4074216194,2,0.5639200745615726,38090084.32564016,bear,-0.0170539216890383
2022-05-18,1092809.0232765335,468184.5447892487,624624.4784872847,2,0.5715769774800117,38090084.32564016,bear,0.017872295642285874
2022-05-19,1069444.8140585737,468184.5447892487,601260.269269325,2,0.5622172003317544,38090084.32564016,bear,-0.021379956351300633
2022-05-20,1092001.1576300478,468184.5447892487,623816.612840799,2,0.571260028876396,38090084.32564016,bear,0.021091638647413813
2022-05-23,1106074.911913422,468184.5447892487,637890.3671241733,2,0.5767153384038641,38090084.32564016,bear,0.012888039710432286
2022-05-24,1112163.8650205801,468184.5447892487,643979.3202313313,2,0.5790327670998506,38090084.32564016,bear,0.005505009689284801
2022-05-25,1144094.04886583,468184.5447892487,675909.5040765814,2,0.590781417617396,38090084.32564016,bear,0.028709963387148152
2022-05-26,1142591.6636705645,468184.5447892487,674407.1188813159,2,0.5902433391775236,38090084.32564016,bear,-0.0013131658160051574
2022-05-27,1151314.6635717037,468184.5447892487,683130.1187824549,2,0.5933478834215418,38090084.32564016,bear,0.0076343983406255145
2022-05-30,1167077.7890827074,468184.5447892487,698893.2442934586,2,0.5988403265242246,38090084.32564016,bear,0.013691413833036625
2022-05-31,1165622.3315317621,468184.5447892487,697437.7867425133,2,0.598339417387448,38090084.32564016,neutral,-0.0012470955788552729
2022-06-01,1196159.5322020776,134017.8781225821,1062141.6540794955,3,0.8879598627819644,38423417.65897349,bear,0.02619819459891959
2022-06-02,1173474.559564442,134017.8781225821,1039456.6814418599,3,0.8857939637205894,38423417.65897349,bear,-0.018964838741763468
2022-06-06,1142058.2661709776,134017.8781225821,1008040.3880483955,3,0.8826523286137502,38423417.65897349,bear,-0.026772027682581467
2022-06-07,1162100.6385712372,134017.8781225821,1028082.7604486551,3,0.8846761858014702,38423417.65897349,bear,0.017549343141183504
2022-06-08,1154758.4969139537,134017.8781225821,1020740.6187913716,3,0.8839429383020436,38423417.65897349,neutral,-0.006317991242402621
2022-06-09,1136400.447061444,134017.8781225821,1002382.5689388618,3,0.8820680874694025,38423417.65897349,neutral,-0.015897739572015235
2022-06-10,1130406.797499402,134017.8781225821,996388.91937682,3,0.8814427881900163,38423417.65897349,bear,-0.005274240763932014
2022-06-13,1103934.6854473175,134017.8781225821,969916.8073247354,3,0.878599812208747,38423417.65897349,bear,-0.02341821732728777
2022-06-14,1109306.4034350854,134017.8781225821,975288.5253125032,3,0.8791876818635667,38423417.65897349,bear,0.004865974462602507
2022-06-15,1086120.4915464355,468308.7219286862,617811.7696177494,2,0.5688243380235827,38758546.32444327,bear,-0.020901269312835757
